FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
40 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,20.0,0.2783203125
40 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
40 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,26.0,0.5248868778280543
40 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,21.0,0.2561409179056238
40 Hz (S: 20),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.4130859375
40 Hz (S: 20),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
40 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,26.0,0.5248868778280543
40 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,34.0,0.9612152553329023
40 Hz (S: 20),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.2060546875
40 Hz (S: 20),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
40 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,48.0,0.14899806076276664
40 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,57.0,0.014544279250161603
40 Hz (S: 20),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,25.0,0.51953125
40 Hz (S: 20),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
40 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,16.0,0.0982546864899806
40 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,25.0,0.46234647705235943
6 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,32.0,0.9658203125
6 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
6 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,37.0,0.732546864899806
6 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,38.0,0.6604718810601163
6 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,31.0,0.8984375
6 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
6 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,35.0,0.883645765998707
6 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,37.0,0.732546864899806
6 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,30.0,0.8310546875
6 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,7.0,0.5625
6 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,33.0,1.0
6 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,29.0,0.732546864899806
